,Ticker,Sector,Sub-Sector,Country,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
11,ANDV,Basic Materials , Oil & Gas Refining & Marketing , USA,S&P; 500,18.87,7.69,2.10%,152.41M,-4.23%,22.11B,11.92,12.17,-33.31%,141.18M,7.01%,1.19B,0.47,3.03,84.20%,2.68%,3.12%,43.26B,0.51,-29.40%,-1.37%,2.77,47.15%,66.63,2.18,36.18%,7.40%,154.15,53.30%,2.55,57.00,39.88%,22.00%,89.58 - 152.97,26.90%,2.36,-,-7.20%,6.70%,-5.14%,1.16,1.63%,0.70,3.20%,16.90%,61.98%,2.74,14300,1.40,58.90%,5.40%,49.59,1.74% 1.84%,Yes,0.87,1187.50%,4.90%,1.00,148.84,Yes,0.86,Aug 06 AMC,17.20%,1.37M,145.10,2.70,-0.71%,3.49%,21.14%,"1,364,650",-2.51%
12,APA,Basic Materials , Independent Oil & Gas , USA,S&P; 500,16.54,2.54,0.10%,399.11M,-9.00%,16.75B,22.45,1.87,1.27%,380.96M,-7.25%,972.00M,-,0.55,-,8.10%,-1.59%,6.52B,2.57,202.20%,4.50%,8.27,9.90%,20.00,2.10,1.25%,3.90%,49.29,1.06%,2.44,17.24,-,11.60%,33.60 - 49.59,-0.57%,1.00,-,-5.40%,10.20%,-15.35%,1.23,2.38%,1.20,-18.90%,78.60%,24.94%,1.53,3356,1.40,37.20%,19.40%,38.11,4.19% 2.94%,Yes,1.09,-65.90%,13.20%,1.07,43.90,Yes,1.04,Aug 01 AMC,44.40%,3.73M,41.98,2.90,-6.61%,-6.21%,0.42%,"3,974,888",-4.37%
13,APTV,Consumer Goods , Auto Parts , Ireland,-,21.67,4.20,0.60%,274.74M,-7.25%,25.00B,15.19,5.99,-,263.85M,-5.56%,1.12B,1.62,1.24,95.20%,2.05%,-7.03%,13.90B,1.80,31.10%,0.29%,3.86,-1.84%,13.30,6.84,11.45%,-,104.97,16.37%,3.53,25.77,13.37%,-,76.61 - 103.23,7.25%,0.88,-,3.70%,16.40%,-11.87%,1.62,0.97%,1.20,-3.70%,19.90%,18.76%,2.31,129000,1.60,16.80%,-,37.09,2.56% 2.45%,Yes,1.16,1.70%,-,1.61,94.03,Yes,1.15,Jul 31 BMO,-,1.40M,90.98,1.90,-4.58%,-5.54%,0.29%,"2,253,519",-3.24%
14,AIZ,Financial , Accident & Health Insurance , USA,S&P; 500,24.14,4.46,0.90%,63.96M,-0.04%,6.89B,12.49,8.63,-2.81%,62.52M,0.06%,246.80M,1.24,1.53,96.90%,4.30%,14.66%,6.73B,1.02,-32.10%,19.28%,2.93,20.16%,93.05,1.16,14.92%,1.20%,120.00,4.23%,19.60,5.50,19.40%,9.30%,84.34 - 111.43,6.81%,2.24,14.00,1.80%,7.30%,-3.34%,0.51,2.08%,-,-5.50%,-,27.71%,2.29,14750,-,14.40%,5.00%,55.60,2.36% 2.05%,Yes,0.38,-49.80%,6.30%,0.58,108.91,Yes,0.38,Aug 07 AMC,28.50%,917.73K,107.71,2.30,-0.29%,3.31%,11.60%,"535,319",-1.10%
15,AZO,Services , Auto Parts Stores , USA,S&P; 500,17.47,43.06,0.10%,26.22M,2.62%,19.72B,13.28,56.63,-9.42%,25.21M,7.44%,1.20B,1.46,17.84,96.00%,2.77%,16.06%,11.17B,1.76,8.30%,1.16%,2.21,4.32%,-50.57,-,13.43%,14.70%,748.78,45.70%,8.33,90.28,12.00%,-97.10%,497.29 - 797.89,5.71%,-,15.23,13.40%,38.80%,-5.75%,0.85,-,0.10,4.80%,53.00%,51.22%,14.94,53070,0.90,1.60%,17.20%,69.46,2.43% 2.02%,Yes,-,17.50%,12.30%,0.94,754.87,Yes,-,Sep 18 BMO,0.00%,315.20K,752.01,2.30,4.78%,8.10%,10.74%,"296,090",-0.38%
16,BLL,Consumer Goods , Packaging & Containers , USA,S&P; 500,26.65,1.51,0.60%,359.11M,-3.26%,14.40B,14.76,2.72,-1.38%,343.49M,4.86%,534.00M,2.52,0.60,90.20%,4.73%,5.14%,11.54B,1.25,57.20%,-0.37%,5.91,5.22%,11.17,3.59,19.95%,2.60%,45.25,-0.52%,1.53,26.24,10.57%,11.70%,34.71 - 43.24,5.97%,0.40,19.26,0.30%,6.60%,-7.24%,0.86,1.00%,0.90,4.70%,20.30%,15.56%,0.75,18300,1.20,8.60%,8.10%,57.58,1.88% 1.95%,Yes,1.89,21.60%,3.90%,1.05,39.70,Yes,1.84,Aug 02 BMO,31.00%,2.75M,40.11,1.90,1.57%,6.08%,2.98%,"2,891,131",1.03%
17,BDX,Healthcare , Medical Instruments & Supplies , USA,S&P; 500,71.25,3.52,0.10%,269.42M,-0.15%,67.63B,19.81,12.67,-13.29%,266.52M,1.32%,897.00M,4.89,2.94,86.90%,1.90%,11.63%,14.75B,4.59,2.70%,-0.20%,4.64,14.13%,79.73,3.15,15.00%,1.20%,262.33,24.59%,5.19,48.34,14.58%,3.20%,191.53 - 253.77,17.27%,3.00,71.12,-2.80%,4.80%,-1.08%,1.12,1.20%,0.80,9.40%,45.60%,31.07%,3.39,41900,1.20,41.00%,9.20%,60.30,1.29% 1.41%,Yes,1.04,371.60%,4.20%,0.76,250.40,Yes,0.95,Aug 02 BMO,124.30%,1.09M,251.03,1.80,0.88%,3.75%,10.02%,"832,565",0.25%
18,BLK,Financial , Asset Management , USA,S&P; 500,18.15,25.94,1.70%,162.88M,-3.33%,76.69B,15.47,30.43,-1.17%,154.56M,-6.75%,4.24B,1.32,6.91,86.30%,0.75%,-11.81%,13.89B,5.52,21.20%,0.41%,1.92,-12.80%,199.59,2.36,10.04%,2.50%,608.00,9.94%,41.28,11.40,13.80%,17.20%,408.62 - 594.52,-8.35%,11.52,37.67,10.90%,10.40%,-20.81%,1.60,2.45%,-,6.00%,84.80%,15.22%,8.58,14100,-,21.60%,41.00%,29.01,1.40% 1.72%,Yes,0.16,26.70%,39.00%,1.20,477.21,Yes,0.16,Jul 16 BMO,32.10%,600.68K,470.82,2.10,-4.60%,-7.32%,-9.80%,"721,048",-1.34%
19,BWA,Consumer Goods , Auto Parts , USA,S&P; 500,11.45,3.85,0.70%,216.52M,-3.36%,9.53B,9.22,4.77,-0.52%,206.42M,-3.61%,809.10M,1.69,1.05,95.20%,2.41%,-15.05%,10.48B,0.91,512.80%,-3.17%,2.84,-17.70%,18.99,2.32,6.38%,5.40%,55.87,-2.72%,1.67,26.34,6.77%,13.90%,42.06 - 58.22,-13.84%,0.68,25.37,10.10%,13.00%,-24.39%,1.92,1.54%,1.20,6.40%,21.60%,4.66%,1.09,29000,1.60,12.70%,10.80%,41.75,1.79% 2.56%,Yes,0.55,29.20%,5.10%,0.82,44.27,Yes,0.53,Jul 26 BMO,25.40%,1.75M,44.02,2.40,-2.07%,-4.01%,-13.15%,"1,435,662",-0.56%
20,BMY,Healthcare , Drug Manufacturers - Major , USA,S&P; 500,29.94,2.01,0.10%,1.66B,0.15%,99.76B,15.66,3.85,0.29%,1.63B,6.41%,3.30B,2.63,0.89,73.60%,0.80%,15.42%,21.60B,4.62,-10.90%,0.18%,2.00,-7.79%,7.54,7.99,6.47%,1.10%,59.44,4.13%,3.67,16.42,11.38%,2.90%,49.96 - 70.05,-1.66%,1.60,65.50,15.30%,20.20%,-13.98%,1.01,2.66%,1.30,3.30%,70.50%,20.62%,1.08,23700,1.40,10.90%,20.90%,64.69,1.41% 2.20%,Yes,0.60,-59.30%,1.70%,0.72,59.96,Yes,0.46,Jul 26 BMO,684.10%,6.52M,60.26,2.50,2.95%,7.10%,1.36%,"4,711,828",0.50%
21,CA,Technology , Business Software & Services , USA,S&P; 500,17.32,2.52,0.20%,423.65M,-0.27%,18.47B,15.15,2.88,-27.14%,318.04M,-1.13%,1.04B,3.14,0.70,70.60%,4.46%,24.08%,4.15B,4.45,-0.80%,-0.19%,2.70,25.44%,19.03,2.29,3.12%,3.60%,42.84,34.12%,7.86,5.55,5.52%,7.20%,31.45 - 44.25,30.98%,1.02,26.92,-1.70%,10.00%,-1.49%,0.83,2.34%,2.20,-1.20%,85.50%,38.60%,0.38,11300,2.20,-8.50%,23.10%,65.11,0.69% 0.42%,Yes,0.35,162.60%,11.00%,0.70,43.63,Yes,0.32,Aug 15 AMC,92.30%,5.25M,43.59,3.00,-0.65%,8.89%,22.18%,"3,648,086",-0.09%
22,COF,Financial , Credit Services , USA,S&P; 500,9.41,10.34,0.80%,486.04M,-0.38%,47.27B,8.67,11.22,-13.47%,475.21M,1.33%,5.05B,0.79,2.84,92.60%,0.74%,1.58%,26.26B,1.80,7.50%,0.12%,1.47,-0.12%,102.92,0.95,-3.28%,0.90%,115.24,15.58%,25.25,3.85,11.85%,6.30%,76.98 - 106.50,-2.33%,1.60,4.26,2.80%,13.30%,-8.68%,1.28,1.65%,-,5.90%,-,26.34%,1.71,47800,-,7.60%,61.20%,52.57,1.31% 1.79%,Yes,1.06,90.20%,11.80%,1.03,97.80,Yes,1.06,Jul 19 AMC,25.00%,2.38M,97.26,2.00,0.66%,1.62%,1.37%,"2,441,472",-0.55%
23,CAT,Industrial Goods , Farm & Construction Machinery , USA,DJIA S&P500;,14.47,9.13,0.10%,610.90M,-5.50%,80.65B,10.37,12.73,-8.12%,593.26M,-4.99%,5.50B,0.58,2.83,69.20%,1.03%,-14.16%,51.18B,1.58,68.60%,-0.26%,1.42,-16.47%,24.96,5.29,9.79%,4.00%,166.65,16.16%,14.17,9.32,25.01%,21.10%,112.69 - 173.24,-16.22%,3.44,58.15,-9.30%,7.30%,-23.79%,1.41,2.61%,1.00,-7.10%,32.90%,17.15%,3.40,98400,1.40,23.70%,13.70%,34.96,1.95% 2.28%,Yes,2.43,109.70%,6.10%,1.32,134.92,Yes,1.59,Jul 30 BMO,59.40%,4.30M,132.02,2.40,-5.08%,-6.83%,-11.27%,"5,667,458",-2.15%
24,CELG,Healthcare , Biotechnology , USA,S&P; 500,16.92,5.28,0.10%,703.59M,-2.16%,62.81B,8.45,10.57,-10.51%,701.00M,3.98%,4.07B,0.88,2.22,79.90%,2.20%,9.72%,14.12B,4.45,109.10%,-1.20%,2.35,-5.42%,4.79,18.64,20.76%,8.60%,113.77,-32.05%,4.85,18.42,19.24%,44.10%,74.13 - 147.17,-14.46%,-,18.66,25.80%,20.00%,-39.34%,1.32,-,1.40,18.70%,96.50%,20.42%,1.80,7467,1.50,-38.80%,28.20%,55.05,1.97% 2.04%,Yes,6.20,-42.90%,19.80%,1.02,92.71,Yes,5.76,Jul 26 BMO,0.00%,6.54M,89.27,2.20,0.32%,6.68%,-3.12%,"6,654,092",-3.71%
25,CERN,Technology , Healthcare Information Services , USA,S&P; 500,30.67,2.07,0.50%,337.87M,-4.31%,21.46B,22.64,2.81,-40.10%,317.56M,4.15%,697.60M,2.65,0.63,82.30%,2.24%,5.90%,5.25B,4.09,15.20%,2.25%,4.08,2.07%,14.78,4.30,12.16%,13.10%,67.79,0.11%,2.62,24.23,11.57%,17.60%,52.05 - 73.86,-5.76%,-,28.51,13.50%,13.40%,-14.01%,0.98,-,2.80,14.00%,82.80%,22.02%,1.28,26000,2.80,5.90%,16.60%,51.26,1.79% 1.78%,Yes,0.09,-4.50%,16.10%,1.51,64.32,Yes,0.09,Aug 02 AMC,0.00%,1.75M,63.51,2.20,0.74%,2.89%,0.24%,"2,636,319",-1.26%
26,CVX,Basic Materials , Major Integrated Oil & Gas , USA,DJIA S&P500;,22.34,5.28,0.06%,1.92B,-4.79%,226.37B,13.45,8.77,-24.67%,1.91B,-3.26%,10.09B,0.41,2.15,66.50%,0.94%,-8.97%,147.13B,1.54,114.90%,0.00%,3.13,3.79%,80.09,1.47,10.36%,4.70%,146.92,8.63%,4.00,29.45,54.04%,8.10%,105.30 - 133.88,-5.79%,4.48,26.25,-22.30%,1.70%,-11.91%,1.10,3.80%,0.90,-10.20%,41.60%,12.00%,2.16,51900,1.10,24.10%,7.00%,33.12,1.91% 1.59%,Yes,0.25,131.90%,8.20%,1.65,122.58,Yes,0.20,Jul 27 BMO,68.80%,5.73M,117.94,2.00,-4.77%,-5.28%,-2.92%,"9,474,065",-3.79%
27,CI,Healthcare , Health Care Plans , USA,S&P; 500,16.54,11.22,0.30%,251.47M,-2.10%,46.64B,12.27,15.12,-5.52%,237.23M,8.65%,2.78B,1.14,3.42,91.10%,3.26%,4.70%,43.81B,1.06,34.60%,1.22%,3.51,-5.15%,60.81,3.05,9.80%,4.10%,222.59,3.53%,14.45,12.84,14.48%,17.90%,163.02 - 227.13,-8.67%,0.04,10.76,11.50%,12.90%,-18.34%,0.61,0.02%,-,7.40%,-,13.78%,3.91,46000,-,10.10%,8.90%,59.15,2.27% 2.38%,Yes,0.36,4.30%,5.80%,1.32,185.30,Yes,0.35,Aug 02 BMO,0.40%,2.20M,185.48,1.90,2.00%,4.84%,-0.78%,"2,917,435",0.10%
28,CSCO,Technology , Communication Equipment , USA,DJIA S&P500;,22.05,1.99,0.10%,4.71B,0.05%,206.55B,15.08,2.91,-1.71%,4.70B,3.59%,9.83B,2.37,0.69,77.80%,0.85%,-2.88%,48.62B,4.25,-9.80%,-0.56%,1.87,4.21%,9.74,4.50,12.45%,-1.00%,49.56,36.68%,11.56,3.79,9.29%,-2.20%,30.36 - 46.37,14.52%,1.32,30.12,5.00%,9.30%,-5.41%,1.02,3.01%,2.30,0.80%,62.20%,44.47%,0.78,72900,2.30,4.40%,24.70%,57.24,1.69% 1.71%,Yes,0.60,11.40%,-2.60%,1.25,44.00,Yes,0.44,Aug 15 AMC,-,21.51M,43.86,2.10,2.23%,1.81%,5.45%,"26,791,641",-0.32%
29,CME,Financial , Investment Brokerage - National , USA,S&P; 500,31.51,5.32,0.30%,340.20M,2.40%,57.04B,23.61,7.10,-4.74%,338.93M,-0.80%,1.81B,3.15,1.48,86.80%,2.27%,4.36%,3.96B,14.41,-5.00%,3.09%,5.33,3.40%,68.12,2.46,6.32%,6.00%,181.80,36.36%,3.47,48.35,10.00%,19.80%,120.97 - 174.36,14.80%,2.80,314.45,9.80%,5.10%,-3.84%,0.61,1.67%,1.10,4.60%,-,38.61%,2.51,2830,1.10,14.60%,63.50%,57.53,1.34% 1.59%,Yes,0.15,35.80%,-,1.14,166.31,Yes,0.15,Jul 26 BMO,20.90%,1.44M,167.67,2.20,1.66%,0.91%,6.42%,"1,650,867",0.82%
30,CL,Consumer Goods , Personal Products , USA,S&P; 500,23.42,2.81,0.30%,883.12M,-1.14%,58.14B,20.33,3.24,-20.78%,864.45M,0.41%,2.48B,3.23,0.74,77.00%,1.34%,6.02%,15.75B,3.69,-4.70%,0.65%,2.87,-5.44%,-0.60,-,6.34%,17.20%,69.21,-8.31%,1.04,63.47,7.25%,-936.60%,61.28 - 77.91,-12.75%,1.68,62.04,0.10%,39.10%,-15.51%,0.73,2.55%,0.70,-2.00%,60.10%,7.42%,0.91,35900,1.10,1.60%,23.90%,50.25,1.02% 1.54%,Yes,-,23.90%,14.00%,1.05,65.52,Yes,-,Jul 27 BMO,64.50%,4.03M,65.83,2.70,-0.64%,1.04%,-4.79%,"4,238,790",0.47%
31,CXO,Basic Materials , Oil & Gas Drilling & Exploration , USA,S&P; 500,27.10,4.85,0.10%,196.22M,-2.66%,25.78B,21.04,6.24,1.03%,147.26M,-11.28%,721.00M,-,1.06,-,4.29%,-12.03%,3.30B,7.81,134.30%,2.31%,2.63,-10.55%,66.86,1.96,44.34%,7.90%,183.29,18.26%,0.28,468.64,-,12.00%,106.73 - 163.11,-12.55%,-,-,-1.10%,5.80%,-19.47%,1.06,-,0.70,7.30%,85.40%,23.08%,4.45,1203,0.80,66.70%,27.70%,38.12,2.81% 3.13%,Yes,0.24,-10.10%,33.90%,1.22,137.16,Yes,0.24,Aug 01 AMC,0.00%,2.41M,131.36,1.90,-7.55%,-4.68%,-9.68%,"2,936,612",-4.23%
32,GLW,Technology , Diversified Electronics , USA,S&P; 500,-,-1.14,0.10%,823.62M,-2.76%,26.66B,15.95,2.03,-41.46%,807.86M,10.89%,-881.60M,-,0.49,73.90%,3.49%,15.11%,10.49B,2.54,-117.50%,-1.07%,4.91,9.65%,14.14,2.29,16.81%,-3.60%,35.72,13.62%,-,-,9.81%,-7.40%,26.11 - 35.10,1.19%,0.72,-,-20.30%,-2.40%,-7.78%,1.36,2.22%,1.60,4.80%,39.20%,23.98%,0.61,46200,2.20,10.00%,13.50%,57.45,1.27% 1.91%,Yes,0.46,88.70%,-9.20%,0.84,32.71,Yes,0.44,Jul 25 BMO,-,5.74M,32.37,2.30,0.77%,8.33%,7.69%,"4,835,581",-1.04%
33,DHI,Industrial Goods , Residential Construction , USA,S&P; 500,11.85,3.70,6.30%,370.18M,-0.61%,16.22B,9.43,4.65,-0.20%,353.19M,1.41%,1.42B,0.55,1.27,85.50%,3.47%,6.98%,15.72B,1.03,16.00%,0.46%,2.72,-3.50%,22.78,1.92,18.74%,10.10%,53.83,19.17%,3.18,13.77,21.50%,16.10%,34.95 - 53.32,-14.18%,0.50,27.51,-0.20%,9.80%,-17.80%,1.09,1.14%,-,26.50%,22.50%,25.41%,1.13,7735,-,17.40%,12.30%,54.00,2.76% 2.77%,Yes,0.36,55.40%,8.30%,0.65,43.99,Yes,0.30,Jul 26 BMO,13.70%,4.51M,43.83,2.10,1.10%,3.22%,-3.41%,"2,939,315",-0.36%
